artist,title,English_clean_lyric
  1415  ,SURFER,hawaii oh hawaii oh star paradise oh fall oh high nice oh high nice oh sky high nice sometime
  615  ,TMI,
  루시드폴  ,새 (Band),
  디어클라우드  ,"그때와 같은 공간, 같은 노래가",
  타카피 (T.A.-COPY)  ,글로리 데이즈,glory day glory day glory day glory day glory day
  스탠딩 에그  ,너라면 괜찮아,make
  애프터브런치  ,말도 안 돼,
  넘버원코리안  ,나풀나풀,
  쏜애플 (THORNAPPLE)  ,낯선 열대,
  로코베리  ,좋은 이유,love baby baby love baby baby love love
  어쿠스윗  ,사랑스런 추억 (Live Ver.),
  시와무지개  ,우리 모두는 혼자,
  바닐라 어쿠스틱  ,Lonely Drive,
  오늘의라디오  ,아아아아,
  구린 기린  ,귀존하사,
  청년들  ,Cali,side side side side side side take take take take take take anywhere anywhere anywhere anywhere anywhere anywhere
  도트  ,비 오고 멍한 날,
  피터팬 컴플렉스  ,보고싶어,
  테이크현  ,너에게 간다,
  권나무  ,죽음은 무죄,
  헤일  ,Better Man,ohh hold man man fortune man good good good
  롸이엇  ,눈물없이는 들을 수 없는 라면의 노래,go
  아슬 (Aseul)  ,Bye Bye Summer,bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye bye
  ROO (루)  ,봄은 그래,
  굿나잇스탠드  ,Focal,sway way way sway way way someday somethig take take take take someday special someday special sway sway
  연희다방  ,야상곡 (Nocturn),
  초코와 바닐라  ,일해 (Losing my Dream),dont feel hero dont dont dont dont get get let know let know get go get go get get let know let know get go get go get get let know let know get go get go get get let know let know get get get get let know let know get go get go know know ta know know ta know know ta know know ta ta know know ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta
  AKUA (아쿠아)  ,Monday,comedy people story dance dance wan dance move give move give image people story move give move give move give say say imagine want give want give care give want give want give care say say imagine want give want give care give want give want give care give want give want give care old na oh na oh oh old always even always even always even always even always even
  문득  ,이웃청년 (Feat. 백선녀),
  쿠바  ,Desire (Rerecording Ver.),yeah yeah oh yeah oh
  희영  ,I Want You Only,man heart pretty man heart scar break fear redheaded feel see dear pretty crazy crazy crazy crazy always
  플랫폼 스테레오(Platform Stereo)  ,Silk,fly sun rise dream dream feel dream feel sun rise dream dream feel dream feel sun pint dream sun pint dream woo woo woo woo come feel fly come feel feel go feel feel go feel true true
  호소  ,연애할래?,
  김목인  ,깨어있는 음악,
  상아  ,Maybe I`m Ok,alright ok alright ok ok ok ok ok ok ok ok ok ok ok ok ok ok maybe maybe maybe maybe maybe maybe maybe maybe maybe maybe maybe maybe maybe maybe maybe maybe maybe maybe maybe maybe maybe
  ZELOT  ,Step lightly (Feat.예닮),overslept lunch today today watch dime shoe sock street hat ear nothing street nothing call day nothing street nothing call day worry morning feeling cliche health care care roam bag home embrace air way arm nothing street nothing call day nothing street nothing call day order reason right monday nothing street nothing call day nothing street nothing call day nothing street nothing call day care slide tell walk make walk make start get stay leave cross wave insane walk make walk make wake walk make walk make walk make late late lazy nonchalant unwashed late tonight tonight stalling red light true tonight tonight enough tonight tonight tonight still noon
  소영이  ,새벽,
  문문 (MoonMoon)  ,에덴,
